name,smiles,name_id,count
"2,5-diketo-D-gluconate",O=C(O)C(=O)[C@@H](O)[C@H](O)C(=O)CO,25dkglcn_c,13
L-alanine-D-glutamate,C[C@H](N)C(=O)N[C@H](CCC(=O)O)C(=O)O,LalaDglu_c,15
"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate",Nc1nc(N[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(N)c(=O)[nH]1,25drapp_c,23
(3S)-3-Hydroxyadipyl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(O)CCC(=O)O,3hadpcoa_c,58
"LL-2,6-Diaminoheptanedioate",N[C@@H](CCC[C@H](N)C(=O)O)C(=O)O,26dap_LL_c,13
(S)-3-Hydroxybutanoyl-CoA,C[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,3hbcoa_c,54
L-alanine-L-glutamate,C[C@H]([NH3+])C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-],LalaLglu_c,15
"Meso-2,6-Diaminoheptanedioate",N[C@@H](CCC[C@@H](N)C(=O)[O-])C(=O)[O-],26dap__M_c,13
N1-Acetylspermidine,CC(=O)NCCC[NH2+]CCCC[NH3+],N1aspmd_c,13
3-hydroxycinnamic acid,O=C(O)C=Cc1cccc(O)c1,3hcinnm_c,12
N-Methyltryptophan,Cc1[nH]c2ccccc2c1C[C@H](N)C(=O)O,Nmtrp_c,16
S-Formylglutathione,N[C@@H](CCC(=O)N[C@@H](CSC=O)C(=O)NCC(=O)O)C(=O)O,Sfglutth_c,22
Aminoacetaldehyde,[NH3+]CC=O,aacald_c,4
